keyword,popular_status,popular_evidence,smart_status,smart_evidence,check_status,error,url,checked_at_utc,attempts
포르쉐카이엔,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%ED%8F%AC%EB%A5%B4%EC%89%90%EC%B9%B4%EC%9D%B4%EC%97%94,2026-07-21T16:31:27+00:00,1
트랙스크로스오버,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%ED%8A%B8%EB%9E%99%EC%8A%A4%ED%81%AC%EB%A1%9C%EC%8A%A4%EC%98%A4%EB%B2%84,2026-07-21T16:31:33+00:00,1
아우디Q8,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EC%95%84%EC%9A%B0%EB%94%94Q8,2026-07-21T16:31:38+00:00,1
현대차종류,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%ED%98%84%EB%8C%80%EC%B0%A8%EC%A2%85%EB%A5%98,2026-07-21T16:31:42+00:00,1
현대아반떼,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%ED%98%84%EB%8C%80%EC%95%84%EB%B0%98%EB%96%BC,2026-07-21T16:31:47+00:00,1
도요타하이랜더,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EB%8F%84%EC%9A%94%ED%83%80%ED%95%98%EC%9D%B4%EB%9E%9C%EB%8D%94,2026-07-21T16:31:51+00:00,1
그랜저가격,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EA%B7%B8%EB%9E%9C%EC%A0%80%EA%B0%80%EA%B2%A9,2026-07-21T16:31:56+00:00,1
니로가솔린,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EB%8B%88%EB%A1%9C%EA%B0%80%EC%86%94%EB%A6%B0,2026-07-21T16:32:01+00:00,1
티뷰론,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%ED%8B%B0%EB%B7%B0%EB%A1%A0,2026-07-21T16:32:05+00:00,1
현대솔라티,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%ED%98%84%EB%8C%80%EC%86%94%EB%9D%BC%ED%8B%B0,2026-07-21T16:32:09+00:00,1
